X1,X2,X3
0.56,0.48,0.6
0.46,0.4,0.45
0.58,0.62,0.69
0.45,0.57,0.52
0.35,0.69,0.46
0.72,0.44,0.75
0.61,0.17,0.53
0.88,0.31,0.88
0.18,0.48,0.2
0.64,0.56,0.72
0.95,0.4,1
0.39,0.69,0.5
0.52,0.34,0.51
0.64,0.56,0.72
0.87,0.36,0.88
0.7,0.22,0.65
0.79,0.2,0.75
0.56,0.51,0.61
0.63,0.78,0.81
0.37,0.4,0.38
0.58,0.68,0.69
0.62,0.43,0.63
0.3,0.49,0.33
0.53,0.38,0.55
0.6,0.75,0.76
0.49,0.5,0.52
0.26,0.6,0.31
0.51,0.65,0.6
0.48,0.45,0.48
0.47,0.6,0.54
0.5,0.56,0.56
0.56,0.52,0.62
0.88,0.19,0.83
0.52,0.27,0.48
0.23,0.59,0.29
0.71,0.43,0.74
0.6,0.22,0.55
0.49,0.4,0.49
0.6,0.32,0.58
0.5,0.51,0.56
0.54,0.51,0.59
0.38,0.43,0.39
0.6,0.43,0.63
0.43,0.53,0.48
0.4,0.42,0.42
0.82,0,0.69
0.73,0.26,0.68
0.42,0.29,0.36
0.78,0.26,0.74
0.55,0.47,0.59
0.61,0.41,0.61
0.34,0.86,0.53
0.34,0.57,0.4
0.7,0.38,0.71
0.71,0.54,0.79
0.68,0.61,0.77
0.46,0.38,0.45
0.65,0.33,0.63
0.29,0.51,0.32
0.64,0.37,0.63
0.48,0.35,0.46
0.84,0.64,0.97
0.77,0.27,0.74
0.48,0.84,0.64
0.53,0.33,0.5
0.62,0.09,0.49
0.03,0.74,0.14
0.38,0.41,0.38
0.49,0.23,0.4
0.33,0.75,0.47
0.56,0.59,0.65
0.59,0.5,0.65
0.58,0.41,0.58
0.69,0.55,0.75
0.57,0.56,0.64
0.59,0.53,0.66
0.46,0.43,0.49
0.68,0.57,0.76
0.5,0.49,0.54
0.42,0.65,0.52
0.66,0.64,0.75
0.66,0.41,0.68
0.36,0.35,0.32
0.78,0.45,0.83
0.61,0.4,0.62
0.33,0.84,0.49
0.32,0.55,0.37
0.73,0.22,0.68
0.48,0.56,0.54
0.18,0.33,0.13
0.38,0.39,0.38
0.5,0.5,0.53
0.58,0.69,0.71
0.48,0.72,0.6
0.54,0.72,0.67
0.59,0.61,0.67
0.64,0.25,0.61
0.31,0.48,0.32
0.43,0.71,0.54
0.66,0.54,0.72
0.71,0.4,0.71
0.68,0.29,0.65
0.66,0.18,0.59
0.74,0.47,0.79
0.41,0.46,0.43
0.1,0.52,0.11
0.6,0.49,0.64
0.37,0.08,0.25
0.7,0.58,0.79
0.86,0.58,0.95
0.34,0.48,0.37
0.46,0.28,0.4
0.43,0.35,0.4
0.54,0.3,0.51
0.79,0.22,0.73
