X1,X3,X5,X2,X4
true,true,false,true,false
true,true,false,true,false
false,false,true,false,true
true,true,true,true,true
true,true,true,true,true
true,true,false,true,false
true,true,false,true,false
true,true,true,true,true
true,true,true,true,true
false,false,true,false,true
false,false,true,false,true
true,true,true,true,true
true,true,false,true,false
true,true,true,true,true
true,true,true,true,true
true,true,false,true,false
true,true,false,true,false
true,true,true,true,true
false,false,true,true,true
true,true,true,true,true
true,true,false,true,false
true,true,false,true,false
true,true,true,true,true
true,true,true,true,true
false,false,true,false,true
false,false,true,false,true
true,true,false,true,false
true,true,false,true,false
false,true,false,true,true
false,false,true,false,false
false,false,true,false,false
true,true,false,true,false
true,true,false,true,false
true,true,true,true,true
true,true,true,true,true
true,true,true,true,true
true,true,false,true,false
true,true,false,true,false
true,false,false,true,true
false,true,false,true,true
false,false,true,false,true
false,false,true,false,true
true,true,true,true,true
true,true,true,true,true
false,false,true,false,true
true,true,true,true,true
true,true,true,true,true
true,true,false,true,false
false,false,true,true,true
true,true,true,true,true
true,true,true,true,true
true,false,false,true,true
true,true,false,true,false
false,false,true,false,true
true,true,true,true,true
true,true,true,true,true
true,true,true,true,true
true,false,false,true,true
true,true,true,true,true
true,true,true,true,true
true,true,false,true,false
false,false,true,false,true
false,false,true,false,true
true,true,true,true,true
true,true,true,true,true
true,true,true,true,true
true,true,true,true,true
true,true,true,true,true
true,true,true,true,true
true,true,true,true,true
false,false,true,false,false
true,true,true,true,true
true,true,true,true,true
true,true,true,true,true
true,true,true,true,true
true,true,true,true,true
true,true,true,true,true
false,false,true,false,true
true,true,true,true,true
true,true,false,true,false
false,false,true,false,true
false,false,true,false,false
true,true,true,true,true
true,true,true,true,true
true,true,true,true,true
true,true,true,true,true
true,true,true,true,true
true,true,false,true,false
true,true,true,true,true
false,true,false,true,true
true,true,false,true,false
false,false,true,false,true
true,true,true,true,true
true,true,true,true,true
true,true,true,true,true
true,true,true,true,true
true,true,false,true,false
true,true,true,true,true
true,false,false,true,true
false,false,true,false,true
true,true,true,true,true
true,true,true,true,true
false,false,true,true,true
true,true,true,true,true
true,true,false,true,false
true,true,false,true,false
true,true,true,true,true
true,true,false,true,false
true,true,true,true,true
true,true,true,true,true
false,false,true,false,true
true,true,true,true,true
false,false,true,true,true
true,true,true,true,true
true,true,true,true,true
true,true,true,true,true
true,false,true,false,false
false,false,true,false,true
false,false,true,false,true
false,false,true,false,true
true,true,true,true,true
true,true,true,true,true
true,true,false,true,false
true,true,true,true,true
true,false,false,false,true
false,false,true,false,true
true,true,true,true,true
true,true,true,true,true
false,false,true,false,true
false,false,true,false,true
true,true,false,true,false
false,false,true,false,true
false,false,true,false,true
true,true,true,true,true
true,true,false,true,false
true,true,true,true,true
false,false,true,false,true
true,true,false,true,false
true,true,true,true,true
true,true,true,true,true
true,true,false,true,false
true,true,true,true,true
true,true,true,true,true
false,false,true,false,true
false,false,true,true,true
true,true,true,true,true
true,true,true,true,true
true,true,true,true,true
true,true,false,true,false
true,true,true,true,true
true,true,true,true,true
false,false,true,false,true
true,false,false,true,true
false,false,true,false,true
false,false,true,false,true
false,false,true,false,true
true,true,true,true,true
true,true,false,true,false
true,true,true,true,true
false,false,true,false,false
true,true,true,true,true
true,true,false,true,false
false,false,true,false,true
true,true,true,true,true
true,true,true,true,true
false,false,true,true,true
false,false,true,false,true
false,false,true,false,true
true,true,true,true,true
true,true,true,true,true
true,true,true,true,true
false,false,true,false,true
false,false,true,true,true
true,false,false,true,true
false,false,true,false,false
false,false,true,false,true
true,false,false,true,true
true,true,false,true,false
true,true,false,true,false
true,true,true,true,true
true,true,false,true,false
true,true,false,true,false
true,true,true,true,true
true,true,true,true,true
false,false,true,false,true
true,true,true,true,true
false,false,true,false,true
true,false,true,false,false
true,true,true,true,true
true,true,false,true,false
true,true,true,true,true
false,false,true,false,false
true,true,true,true,true
true,true,true,true,true
true,true,true,true,true
false,false,true,false,true
true,true,true,true,true
false,false,true,false,true
false,false,true,true,true
true,true,true,true,true
true,true,true,true,true
true,true,false,true,false
true,true,true,true,true
true,true,false,true,false
false,false,true,true,true
true,true,true,true,true
